Image;Tag;Title Lent;Title Lent_link;Game Genre 1;Game Genre 3;Game Date;Game Genre 4
https://stopga.me/images/games/logos/1469/c170x119/Iyj9nF4icZ6VsST45lApzg/hulk_the.jpg;6.9;Hulk, The;https://stopgame.ru/game/hulk_the;action;;июнь 2003 г.;PC
https://stopga.me/images/games/logos/4431/c170x119/468oSYEW4HhnY3Lg4woNDA/nexus_the_jupiter_incident.jpg;6.9;Nexus: The Jupiter Incident;https://stopgame.ru/game/nexus_the_jupiter_incident;strategy;;3 но€бр€ 2004 г.;PC
https://stopga.me/images/games/logos/13082/c170x119/R-f2DKiGMWCgo2MWrQ59YA/punch_quest.jpg;6.9;Punch Quest;https://stopgame.ru/game/punch_quest;arcade;;25 окт€бр€ 2012 г.;iOS
https://stopga.me/images/games/logos/13366/c170x119/Yf_E5XoxAXKTvlaAyP4d0A/citadels.jpg;6.9;Citadels;https://stopgame.ru/game/citadels;strategy;;25 июл€ 2013 г.;PC
https://stopga.me/images/games/logos/13535/c170x119/u8IdH9-kxo_9dvAw_izgng/fruit_ninja.jpg;6.9;Fruit Ninja;https://stopgame.ru/game/fruit_ninja;arcade;;21 апрел€ 2010 г.;Android, iOS, PC, PSV, WinPhone, X360
https://stopga.me/images/games/logos/14177/c170x119/L8XkaRFIbrbV4HmaroEYZQ/gabriel_knight_sins_of_the_fathers_20th_anniversary_edition.jpg;6.9;Gabriel Knight: Sins of the Fathers 20th Anniversary Edition;https://stopgame.ru/game/gabriel_knight_sins_of_the_fathers_20th_anniversary_edition;adventure;;15 окт€бр€ 2014 г.;Android, iOS, Mac, PC
https://stopga.me/images/games/logos/14779/c170x119/8jmqfkDkVNkerj1TRKTMwA/assassin_s_creed_victory.jpg;6.9;Assassin's Creed: Syndicate;https://stopgame.ru/game/assassin_s_creed_victory;action;;23 окт€бр€ 2015 г.;PC, PS4, XONE
https://stopga.me/images/games/logos/9791/c170x119/pK55MT0zEhCFwv_1rj32EQ/sins_of_a_solar_empire_entrenchment.jpg;6.9;Sins of a Solar Empire: Entrenchment;https://stopgame.ru/game/sins_of_a_solar_empire_entrenchment;add-on;strategy;25 феврал€ 2009 г.;PC
https://stopga.me/images/games/logos/14984/c170x119/Us6u0d7B7DONBgPl4KOG2Q/infinity_wars_animated_trading_card_game.jpg;6.9;Infinity Wars - Animated Trading Card Game;https://stopgame.ru/game/infinity_wars_animated_trading_card_game;logic;;12 феврал€ 2014 г.;Android, iOS, Mac, PC
https://stopga.me/images/games/logos/15709/c170x119/8_sBkU-RYUqI8Yb-3E4juw/f1_2016.jpg;6.9;F1 2016;https://stopgame.ru/game/f1_2016;racing;simulator;19 августа 2016 г.;PC, PS4, XONE
https://stopga.me/images/games/logos/16344/c170x119/s5xt-EsGDfPp6ZWvOpuQUQ/transport_fever.jpg;6.9;Transport Fever;https://stopgame.ru/game/transport_fever;strategy;;8 но€бр€ 2016 г.;Mac, PC
https://stopga.me/images/games/logos/17837/c170x119/ZgfBiYteOKxmgyijdW5w4Q/deep_sky_derelicts.jpg;6.9;Deep Sky Derelicts;https://stopgame.ru/game/deep_sky_derelicts;rpg;adventure;26 сент€бр€ 2018 г.;Mac, PC
https://stopga.me/images/games/logos/13110/c170x119/2y7cNESK1R2sOASDQa2stg/drive_club.jpg;6.9;Driveclub;https://stopgame.ru/game/drive_club;racing;;7 окт€бр€ 2014 г.;PS4
https://stopga.me/images/games/logos/11681/c170x119/BZv0h9Ux9ilZDbp4l8X3CQ/might_and_magic_heroes_6.jpg;6.9;Might & Magic: Heroes 6;https://stopgame.ru/game/might_and_magic_heroes_6;strategy;;13 окт€бр€ 2011 г.;PC
https://stopga.me/images/games/logos/13054/c170x119/FihHEkv6FLikpPWMocAtPA/call_of_duty_black_ops_2_revolution.jpg;6.9;Call of Duty: Black Ops 2 - Revolution;https://stopgame.ru/game/call_of_duty_black_ops_2_revolution;action;add-on;29 €нвар€ 2013 г.;PC, PS3, X360
https://stopga.me/images/games/logos/15509/c170x119/SQhBYDEuupcB41LQq8Iouw/punch_club.jpg;6.9;Punch Club;https://stopgame.ru/game/punch_club;strategy;arcade;8 €нвар€ 2016 г.;3DS, Android, iOS, Mac, NSW, PC, PS4, XONE
https://stopga.me/images/games/logos/11096/c170x119/PoX2RTx1mJKueJEP9EnMRQ/alpha_polaris.jpg;6.9;Alpha Polaris;https://stopgame.ru/game/alpha_polaris;adventure;;22 июн€ 2011 г.;PC
https://stopga.me/images/games/logos/14936/c170x119/60349cYuoeyamadjfiedqg/sniper_elite_iii_ultimate_edition.jpg;6.9;Sniper Elite III: Ultimate Edition;https://stopgame.ru/game/sniper_elite_iii_ultimate_edition;action;;10 марта 2015 г.;NSW, PC, PS3, PS4, X360, XONE
https://stopga.me/images/games/logos/18819/c170x119/8kwfMMogwj9Rk3o4SgMAkA/journey_to_the_savage_planet.jpg;6.9;Journey to the Savage Planet;https://stopgame.ru/game/journey_to_the_savage_planet;adventure;;28 €нвар€ 2020 г.;PC, PS4, XONE
https://stopga.me/images/games/logos/13612/c170x119/3PhvA6ulsUu8kZ-QJsoE8A/lichdom.jpg;6.9;Lichdom: Battlemage;https://stopgame.ru/game/lichdom;rpg;;26 августа 2014 г.;PC, PS4, XONE
https://stopga.me/images/games/logos/3485/c170x119/HuqS9UMah9e2eGO4ZPVl-w/alien_nations.jpg;6.9;Alien Nations;https://stopgame.ru/game/alien_nations;strategy;;2000 г.;PC
https://stopga.me/images/games/logos/1723/c170x119/pANIjJWarYlG5WsipV0YSQ/leisure_suit_larry_5_passionate_patti_does_a_little_undercover_work.jpg;6.9;Leisure Suit Larry 5: Passionate Patti Does a Little Undercover Work;https://stopgame.ru/game/leisure_suit_larry_5_passionate_patti_does_a_little_undercover_work;adventure;for adults;31 декабр€ 1991 г.;Amiga, PC
https://stopga.me/images/games/logos/2848/c170x119/cpHf5azr0LQQrFNldqBreA/sub_culture.jpg;6.9;Sub Culture;https://stopgame.ru/game/sub_culture;arcade;;1997 г.;PC
https://stopga.me/images/games/logos/5708/c170x119/-3qbKT4DKxdNbwcm1mWdnA/tomorrow_war_the.jpg;6.9;«автра война;https://stopgame.ru/game/zavtra_vojna;arcade;simulator;27 окт€бр€ 2006 г.;PC
